,mean_diff,studentized,p_lower,p_consistent,p_upper
partialcorr_full::PC_a2e-03_ldp     _average,-5.469352484303891e-05,-0.6663647345633216,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_ldp     _complete,-8.986119953144695e-05,-1.0734221917208029,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_ldp     _ward,-7.410110048098123e-05,-0.9089064082762904,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_absolute_single,-6.041854816295025e-05,-0.7240727507600592,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_absolute_average,-5.969827769475719e-05,-0.7278998709082152,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_absolute_complete,-8.986119953144695e-05,-1.0734221917208029,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_absolute_ward,-6.71004135132047e-05,-0.8332895858468824,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_angular _single,-6.041854816295025e-05,-0.7240727507600592,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_angular _average,-5.907979143107898e-05,-0.7200026606949992,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_angular _complete,-8.986119953144695e-05,-1.0734221917208029,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_angular _ward,-7.351154616725191e-05,-0.9102152470772039,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_squared _single,-6.041854816295025e-05,-0.7240727507600592,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_squared _average,-5.969827769475719e-05,-0.7278998709082152,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_squared _complete,-8.986119953144695e-05,-1.0734221917208029,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_squared _ward,-6.71004135132047e-05,-0.8332895858468824,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a5e-04_single,-4.0036110015294e-05,-0.5004140772132207,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a5e-04_average,-4.6464976941056556e-05,-0.5902624584240792,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a1e-03_single,-6.647271143436347e-05,-0.8870089851573933,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a1e-03_average,-7.604700391773667e-05,-1.0143742476331077,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a2e-03_single,-6.041854816295025e-05,-0.7240727507600592,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a2e-03_average,-5.469352484303891e-05,-0.6663647345633216,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a3e-03_single,-0.00010689078224052817,-1.1830629904276708,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a3e-03_average,-9.976937755785289e-05,-1.119823501581452,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a5e-03_single,-0.00011228027690314878,-1.2775331837477657,0.8144,0.5828,0.7716
partialcorr::PartialCorr_a5e-03_average,-0.00010720780349817178,-1.2218564946132804,0.8144,0.5828,0.7716
partialcorr::PartialCorr_CV_single,-7.153593851005545e-05,-0.8735149321982542,0.8144,0.5828,0.7716
partialcorr::PartialCorr_CV_average,-6.28519986202123e-05,-0.8383059379022593,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L2_w60_single,-6.932219684741471e-05,-1.0542255924503168,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L2_w60_average,-4.1095715098862854e-05,-0.7255221692500672,0.8144,0.5828,0.7716
